,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000008323,7.717515439,-0.092043334,0.259537172,0.345445303,0.649834612
ENSG00000008324,121.8119432,-0.388147546,0.238652619,0.021927754,0.112221785
ENSG00000008382,82.45820681,-0.050478745,0.162764354,0.691444001,0.888004977
ENSG00000008394,3589.846647,-0.014692682,0.205988254,0.841935768,0.948237617
ENSG00000008405,268.054044,-0.055632859,0.142734453,0.640898083,0.858011976
ENSG00000008438,1.721854647,-0.090205354,0.279075446,0.07134563,NA
ENSG00000008441,10801.95106,0.280505527,0.131405727,0.014782954,0.083730165
ENSG00000008513,1568.441215,0.454193523,0.220858119,0.007241429,0.04878876
ENSG00000008516,2.575762964,0.041005096,0.255360413,0.543162699,NA
ENSG00000008517,182.6569132,0.388451428,0.426567709,0.038855671,0.16748708
ENSG00000008710,5426.288527,-0.403988128,0.181244521,0.006125857,0.04283906
ENSG00000008735,17.35177245,-0.130895986,0.251631963,0.298527693,0.600802735
ENSG00000008838,1151.309204,0.019190329,0.091102828,0.822962728,0.942473095
ENSG00000008853,558.490466,-0.485852505,0.179752157,0.001242092,0.012330397
ENSG00000008869,708.0311679,-0.03841874,0.088140053,0.642146311,0.858643791
ENSG00000008952,5081.640484,-0.152083718,0.097379365,0.090766857,0.298408673
ENSG00000008988,10815.04812,0.021527804,0.12558042,0.815557462,0.939772458
ENSG00000009307,15779.34919,-0.007173306,0.095769531,0.932755142,0.979572829
ENSG00000009335,2101.614066,-0.195119317,0.07302954,0.005224186,0.03788894
ENSG00000009413,7584.792055,-1.072195983,0.171328717,2.84E-11,2.32E-09
ENSG00000009694,4.483943751,0.040276316,0.25971283,0.416860118,0.710476548
ENSG00000009724,39.28247273,0.23843098,0.240096882,0.121577065,0.358031808
ENSG00000009780,174.3891806,-0.473204271,0.214177761,0.004623075,0.034495984
ENSG00000009790,11.83306303,0.066870756,0.231407992,0.569441799,0.815773006
ENSG00000009830,419.1783355,-0.073917514,0.104422053,0.43825178,0.726423376
ENSG00000009844,843.5750866,0.047435488,0.094966355,0.591948693,0.829314786
ENSG00000009950,2.453666372,-0.069007979,0.270643478,0.09948904,NA
ENSG00000009954,2940.424577,0.038853809,0.081316113,0.615534664,0.843272462
ENSG00000010017,1856.299363,-0.67890599,0.163463444,3.85E-06,9.03E-05
ENSG00000010030,14.6961926,0.31855661,0.405131149,0.054486107,0.212513411
ENSG00000010072,170.183759,0.052545178,0.11959381,0.621168657,0.846265729
ENSG00000010165,906.0061939,0.020589688,0.106924238,0.833674872,0.945872223
ENSG00000010219,186.5179546,0.193338036,0.130220033,0.087422262,0.290877707
ENSG00000010244,2027.67615,-0.095203636,0.120747055,0.368672093,0.669603202
ENSG00000010256,1795.169685,-0.436882425,0.11181968,2.34E-05,0.00043825
ENSG00000010270,769.1155149,-0.036324743,0.121157264,0.734059321,0.907225722
ENSG00000010278,3881.287518,-0.453201987,0.215487114,0.006553409,0.045126608
ENSG00000010292,1191.071622,-0.026270612,0.106603134,0.784921561,0.926793506
ENSG00000010295,1202.542694,0.038999621,0.180492276,0.767109935,0.919564389
ENSG00000010310,14.3210327,0.623053294,0.597806716,0.014896284,0.084257254
ENSG00000010318,73.7031884,0.004493938,0.183056474,0.973748981,0.992943939
ENSG00000010322,2566.154606,0.229582142,0.114415111,0.025833398,0.126666054
ENSG00000010361,182.8434602,-0.093158763,0.176305371,0.478516934,0.756812958
ENSG00000010404,1949.971223,-0.140699725,0.161148969,0.272546536,0.571694522
ENSG00000010438,14.27575332,-0.011706257,0.242687328,0.892133471,0.966847048
ENSG00000010539,121.1045776,0.090662401,0.136402696,0.434636984,0.723942101
ENSG00000010610,57.97762265,0.035725651,0.241673308,0.7110637,0.896849141
ENSG00000010626,142.7380832,0.189518096,0.14525331,0.119922412,0.355005611
ENSG00000010704,456.5412712,0.10567207,0.146502771,0.385353174,0.684323022
ENSG00000010803,762.7842759,0.005263416,0.080873756,0.946108493,0.983752207
ENSG00000010810,1682.452396,-0.036161562,0.151101327,0.766536795,0.919509178
ENSG00000010818,1411.161168,0.310303221,0.119090921,0.003745292,0.029297691
ENSG00000010932,32.3998601,-0.020998874,0.25588392,0.679910619,0.881256284
ENSG00000011007,1099.637085,-0.157365887,0.096944984,0.079061146,0.272267715
ENSG00000011009,464.0865884,-0.195101694,0.104966045,0.041917852,0.176569569
ENSG00000011021,619.8553709,-0.074496181,0.12485871,0.494838547,0.76943101
ENSG00000011028,16641.14101,0.195380937,0.110048685,0.049115394,0.197475277
ENSG00000011105,3557.418067,-0.203216046,0.17345181,0.131379228,0.375662481
ENSG00000011114,1187.561817,-0.054322018,0.085656663,0.500740427,0.773526118
ENSG00000011132,190.8393196,-0.085483662,0.121292777,0.424838166,0.716313918
ENSG00000011143,143.2971895,0.215001195,0.181788946,0.121777549,0.358447417
ENSG00000011198,1159.373523,-1.018281024,0.207678952,6.91E-08,2.54E-06
ENSG00000011243,656.9772976,0.157217533,0.109954952,0.114141262,0.343732919
ENSG00000011258,368.7545037,0.251518722,0.135973358,0.032170988,0.14792939
ENSG00000011260,408.7862218,-0.189191702,0.148431022,0.125413155,0.365064217
ENSG00000011275,1718.832242,-0.012073259,0.089929435,0.885376244,0.96361657
ENSG00000011295,406.5507341,-0.11028881,0.108117528,0.260098727,0.557328046
ENSG00000011304,3588.797165,-0.308457951,0.118678356,0.003804903,0.029674314
ENSG00000011332,11.06860214,-0.035987647,0.234462287,0.733402717,0.906971622
ENSG00000011347,148.2963964,0.829115868,0.240897673,4.84E-05,0.000809506
ENSG00000011376,427.2315968,-0.020268317,0.153811052,0.868870584,0.95686149
ENSG00000011405,1505.059164,-0.29456177,0.146867186,0.018137638,0.09735446
ENSG00000011422,388.0115644,-0.02465478,0.136798659,0.831029067,0.945178831
ENSG00000011426,225.464349,0.010028156,0.118101676,0.92497435,0.977339493
ENSG00000011451,1524.196292,-0.067923117,0.108432454,0.486141791,0.762416103
ENSG00000011454,2319.124362,-0.379250343,0.158286655,0.004543631,0.03404342
ENSG00000011465,298124.5865,0.038360928,0.187057829,0.70760824,0.895816479
ENSG00000011478,141.606785,-0.623563867,0.167620716,2.58E-05,0.000475218
ENSG00000011485,966.5947906,-0.520121772,0.111905862,6.39E-07,1.82E-05
ENSG00000011523,823.679158,-0.128262714,0.124689348,0.238993463,0.534153044
ENSG00000011566,1396.089131,-0.750869677,0.182282164,3.82E-06,8.96E-05
ENSG00000011590,2.77370879,-0.014693422,0.255278246,0.774829204,NA
ENSG00000011600,1.795005637,-0.003821365,0.256606287,0.925045527,NA
ENSG00000011638,890.6921047,-0.08011186,0.148915807,0.511727242,0.781568239
ENSG00000012048,221.1047737,1.162470038,0.176652561,3.28E-12,3.23E-10
ENSG00000012061,835.8501583,-0.012853057,0.133495061,0.909183112,0.972238841
ENSG00000012171,1267.512533,0.667671749,0.195700784,7.37E-05,0.001158049
ENSG00000012174,722.8644796,-0.105710486,0.089567023,0.207430916,0.491052648
ENSG00000012211,122.3390831,-0.132758792,0.149988053,0.282327144,0.583336599
ENSG00000012232,1258.002574,-0.080558046,0.110557606,0.431422258,0.721839402
ENSG00000012660,2382.607348,-0.354677074,0.156882875,0.007259373,0.048873307
ENSG00000012817,795.7876584,0.002726221,0.256943631,0.943188675,0.982774377
ENSG00000012822,6054.592094,-0.360004354,0.146939329,0.00429079,0.032566499
ENSG00000012963,538.4450011,0.078715972,0.149061045,0.521553575,0.787411804
ENSG00000012983,1882.369505,0.080671307,0.111655506,0.424423693,0.716148276
ENSG00000013016,1955.918062,-0.325157452,0.271326595,0.055786281,0.216327066
ENSG00000013275,936.41908,-0.114096647,0.117952081,0.276549312,0.576639864
ENSG00000013288,3145.55794,-0.053075545,0.137683177,0.664327891,0.872336624
ENSG00000013293,244.4917133,2.744480424,0.366948255,3.50E-15,4.99E-13
ENSG00000013297,3431.486495,1.636160086,0.269497844,7.16E-11,5.29E-09
ENSG00000013306,974.9291629,0.012887959,0.120948251,0.922147488,0.976381112
ENSG00000013364,7746.480657,-0.116068116,0.109737408,0.241661391,0.537068133
ENSG00000013374,1248.819431,-0.142667179,0.113659522,0.169781238,0.436921406
ENSG00000013375,997.1713046,0.222258314,0.138904733,0.061490349,0.230312311
ENSG00000013392,250.8168813,0.196349718,0.162291555,0.132208134,0.377193257
ENSG00000013441,2667.715898,-0.215475249,0.132492803,0.060115882,0.227089124
ENSG00000013503,254.4964903,-0.079065229,0.121601669,0.461375775,0.743660579
ENSG00000013523,345.1828051,0.273893837,0.111624701,0.006839714,0.046619675
ENSG00000013561,887.4462375,-0.283721494,0.110078017,0.004582624,0.034264715
ENSG00000013563,172.571013,-0.002722429,0.176260488,0.981665359,0.994883588
ENSG00000013573,214.7726146,0.312694251,0.249186745,0.057357851,0.220579961
ENSG00000013583,1388.089963,-0.349702399,0.139292098,0.004766741,0.035343221
ENSG00000013588,581.6050422,0.078648826,0.191411194,0.557182152,0.808074692
ENSG00000013619,1098.167589,-0.303524877,0.127564118,0.007079517,0.047858064
ENSG00000013810,70.2164269,-0.069094241,0.186650897,0.599856415,0.834288009
ENSG00000014123,880.4672005,0.094052889,0.095232425,0.287915811,0.589331233
ENSG00000014138,159.5905234,0.159159875,0.156554872,0.21024798,0.495618115
ENSG00000014164,451.1096677,-0.00080513,0.17890868,0.993149843,0.998518268
ENSG00000014216,3449.675383,-0.249464402,0.080797042,0.00112504,0.011399521
ENSG00000014257,15.52944183,0.167232273,0.284560753,0.183977463,0.457117363
ENSG00000014641,1490.155747,0.064144051,0.090120866,0.448171949,0.73448199
ENSG00000014824,1311.083793,-0.106880041,0.131267921,0.345050381,0.649348473
ENSG00000014914,567.3023904,0.312226302,0.199647351,0.038085844,0.165309351
ENSG00000014919,629.9592371,0.074264669,0.099945078,0.421728226,0.713860624
ENSG00000015133,5.652262929,-0.067015811,0.255920635,0.42541225,0.716748231
ENSG00000015153,229.9477052,-0.329946308,0.165725554,0.015359244,0.086309994
ENSG00000015171,2166.677297,0.027602217,0.081336925,0.721851452,0.902100059
ENSG00000015285,4.770405985,0.167377593,0.318150042,0.085417488,0.286381186
ENSG00000015413,1.487908453,-0.109552343,0.292722256,0.008394383,NA
ENSG00000015475,325.2129679,-0.000635838,0.173122535,0.999554417,0.999918478
ENSG00000015479,6854.687342,0.135629988,0.07122692,0.044912845,0.185423841
ENSG00000015520,17.51237437,2.096053488,0.799998053,0.000374438,0.004621041
ENSG00000015532,670.7572057,-0.043174608,0.098088207,0.633638655,0.854012165
ENSG00000015568,1188.487807,0.167625712,0.142651397,0.165763468,0.430804295
ENSG00000015676,1601.473498,-0.025899779,0.09494485,0.768483487,0.920442637
ENSG00000016391,92.10875511,1.827162536,0.48268481,6.78E-06,0.000147539
ENSG00000016402,10.36421149,0.100650164,0.273533761,0.214350153,0.501405
ENSG00000016864,1565.028647,-0.063755507,0.139787426,0.586722679,0.825411925
ENSG00000017260,2756.965515,0.125473705,0.114681361,0.222439456,0.512388509
ENSG00000017427,837.7636883,0.091970242,0.24094195,0.433680093,0.723734271
ENSG00000017483,445.7714212,0.814267939,0.284175966,0.000326494,0.00409632
ENSG00000017621,17.94958283,0.084772749,0.220081675,0.509247926,0.7799439
ENSG00000017797,3342.84718,-0.538163937,0.103604135,3.69E-08,1.47E-06
ENSG00000018189,992.6784441,0.281247133,0.105031778,0.00352471,0.028032125
ENSG00000018236,45.98047423,-0.223016346,0.225574181,0.136047986,0.383352703
ENSG00000018280,5.378036309,0.00163949,0.242424262,0.986497877,0.996261605
ENSG00000018408,2600.0087,-0.090488298,0.115634856,0.380529473,0.680356505
ENSG00000018510,792.988079,-0.130729977,0.098099579,0.148927859,0.405099014
ENSG00000018610,275.658454,0.094420109,0.102288689,0.314731227,0.618168434
ENSG00000018625,671.445792,0.057804664,0.261698615,0.352757533,0.655989201
ENSG00000018699,269.9679423,-0.003995317,0.131502384,0.970827567,0.992152964
ENSG00000018869,58.27798445,0.047412233,0.172193454,0.715300957,0.898634222
ENSG00000019102,6.902539214,-0.031737336,0.2554716,0.595011765,0.831199642
ENSG00000019144,2982.854155,-0.321296859,0.132895749,0.006468308,0.044744687
ENSG00000019186,14.08722296,3.901680315,1.082789877,1.97E-05,0.000377359
ENSG00000019485,185.0050195,-0.299724668,0.21431157,0.052933929,0.208615181
ENSG00000019549,3021.071777,-0.071605801,0.208062621,0.575187381,0.819406073
