query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
upregulated	TRUE	0.00198738210221946	178	1013	26	0.0256663376110563	0.146067415730337	KEGG:04810	KEGG	Regulation of actin cytoskeleton	17242	378
upregulated	TRUE	0.00346895390059623	43	1013	11	0.0108588351431392	0.255813953488372	KEGG:04923	KEGG	Regulation of lipolysis in adipocytes	17242	394
upregulated	TRUE	0.0043057549896966	264	1013	33	0.0325765054294176	0.125	KEGG:04151	KEGG	PI3K-Akt signaling pathway	17242	294
upregulated	TRUE	0.0044559619749589	86	1013	16	0.0157946692991115	0.186046511627907	KEGG:05222	KEGG	Small cell lung cancer	17242	489
upregulated	TRUE	0.00689239868517117	54	1013	12	0.0118460019743337	0.222222222222222	KEGG:04920	KEGG	Adipocytokine signaling pathway	17242	391
upregulated	TRUE	0.00696723673412289	71	1013	14	0.0138203356367226	0.197183098591549	KEGG:04512	KEGG	ECM-receptor interaction	17242	324
upregulated	TRUE	0.00746997567894159	99	1013	17	0.016781836130306	0.171717171717172	KEGG:04152	KEGG	AMPK signaling pathway	17242	295
upregulated	TRUE	0.00780572260012928	109	1013	18	0.0177690029615005	0.165137614678899	KEGG:04081	KEGG	Hormone signaling	17242	271
upregulated	TRUE	0.00951377630412634	141	1013	21	0.0207305034550839	0.148936170212766	KEGG:04310	KEGG	Wnt signaling pathway	17242	308
upregulated	TRUE	0.0117054769805219	143	1013	21	0.0207305034550839	0.146853146853147	KEGG:04218	KEGG	Cellular senescence	17242	304
upregulated	TRUE	0.0142087835850098	114	1013	18	0.0177690029615005	0.157894736842105	KEGG:04068	KEGG	FoxO signaling pathway	17242	265
upregulated	TRUE	0.0142087835850098	114	1013	18	0.0177690029615005	0.157894736842105	KEGG:04921	KEGG	Oxytocin signaling pathway	17242	392
upregulated	TRUE	0.0199574781180527	117	1013	18	0.0177690029615005	0.153846153846154	KEGG:04910	KEGG	Insulin signaling pathway	17242	381
upregulated	TRUE	0.0226683676830923	108	1013	17	0.016781836130306	0.157407407407407	KEGG:04936	KEGG	Alcoholic liver disease	17242	407
upregulated	TRUE	0.0281456578749173	90	1013	15	0.0148075024679171	0.166666666666667	KEGG:04931	KEGG	Insulin resistance	17242	402
upregulated	TRUE	0.0317955131130999	23	1013	7	0.0069101678183613	0.304347826086957	KEGG:00350	KEGG	Tyrosine metabolism	17242	42
upregulated	TRUE	0.031892767698191	54	1013	11	0.0108588351431392	0.203703703703704	KEGG:04213	KEGG	Longevity regulating pathway - multiple species	17242	299
upregulated	TRUE	0.0351621784528258	38	1013	9	0.00888450148075025	0.236842105263158	KEGG:04978	KEGG	Mineral absorption	17242	423
upregulated	TRUE	0.0356936718596924	133	1013	19	0.018756169792695	0.142857142857143	KEGG:04150	KEGG	mTOR signaling pathway	17242	293
upregulated	TRUE	0.036199678262076	102	1013	16	0.0157946692991115	0.156862745098039	KEGG:04919	KEGG	Thyroid hormone signaling pathway	17242	390
upregulated	TRUE	0.0397056529467057	83	1013	14	0.0138203356367226	0.168674698795181	KEGG:04520	KEGG	Adherens junction	17242	329
upregulated	TRUE	0.044085778180716	157	1013	21	0.0207305034550839	0.133757961783439	KEGG:04360	KEGG	Axon guidance	17242	314
upregulated	TRUE	0.0489516639045521	75	1013	13	0.0128331688055281	0.173333333333333	KEGG:05410	KEGG	Hypertrophic cardiomyopathy	17242	505
upregulated	FALSE	0.0753482902252859	141	1013	19	0.018756169792695	0.134751773049645	KEGG:05225	KEGG	Hepatocellular carcinoma	17242	492
upregulated	FALSE	0.0829821653210398	211	1013	25	0.0246791707798618	0.118483412322275	KEGG:04517	KEGG	IgSF CAM signaling	17242	326
upregulated	FALSE	0.0987013898071476	35	1013	8	0.00789733464955577	0.228571428571429	KEGG:00982	KEGG	Drug metabolism - cytochrome P450	17242	159
upregulated	FALSE	0.103693387665101	91	1013	14	0.0138203356367226	0.153846153846154	KEGG:04933	KEGG	AGE-RAGE signaling pathway in diabetic complications	17242	404
upregulated	FALSE	0.104821649195026	81	1013	13	0.0128331688055281	0.160493827160494	KEGG:00564	KEGG	Glycerophospholipid metabolism	17242	89
upregulated	FALSE	0.104891250589245	112	1013	16	0.0157946692991115	0.142857142857143	KEGG:05224	KEGG	Breast cancer	17242	491
upregulated	FALSE	0.104891250589245	112	1013	16	0.0157946692991115	0.142857142857143	KEGG:05226	KEGG	Gastric cancer	17242	493
upregulated	FALSE	0.118656735353952	28	1013	7	0.0069101678183613	0.25	KEGG:00380	KEGG	Tryptophan metabolism	17242	49
upregulated	FALSE	0.132067613852722	45	1013	9	0.00888450148075025	0.2	KEGG:00270	KEGG	Cysteine and methionine metabolism	17242	31
upregulated	FALSE	0.145873855000335	37	1013	8	0.00789733464955577	0.216216216216216	KEGG:00330	KEGG	Arginine and proline metabolism	17242	37
upregulated	FALSE	0.148551467316321	84	1013	13	0.0128331688055281	0.154761904761905	KEGG:04382	KEGG	Cornified envelope formation	17242	319
upregulated	FALSE	0.148571782043459	29	1013	7	0.0069101678183613	0.241379310344828	KEGG:00640	KEGG	Propanoate metabolism	17242	111
upregulated	FALSE	0.159630581081651	95	1013	14	0.0138203356367226	0.147368421052632	KEGG:04935	KEGG	Growth hormone synthesis, secretion and action	17242	406
upregulated	FALSE	0.213270164317997	67	1013	11	0.0108588351431392	0.164179104477612	KEGG:05412	KEGG	Arrhythmogenic right ventricular cardiomyopathy	17242	506
upregulated	FALSE	0.220833548664152	120	1013	16	0.0157946692991115	0.133333333333333	KEGG:04062	KEGG	Chemokine signaling pathway	17242	262
upregulated	FALSE	0.24119749381759	68	1013	11	0.0108588351431392	0.161764705882353	KEGG:05100	KEGG	Bacterial invasion of epithelial cells	17242	439
upregulated	FALSE	0.248575928876674	40	1013	8	0.00789733464955577	0.2	KEGG:00071	KEGG	Fatty acid degradation	17242	11
upregulated	FALSE	0.297318466280344	80	1013	12	0.0118460019743337	0.15	KEGG:04211	KEGG	Longevity regulating pathway	17242	297
upregulated	FALSE	0.298250872615934	17	1013	5	0.00493583415597236	0.294117647058824	KEGG:04977	KEGG	Vitamin digestion and absorption	17242	422
upregulated	FALSE	0.305983514618246	70	1013	11	0.0108588351431392	0.157142857142857	KEGG:01521	KEGG	EGFR tyrosine kinase inhibitor resistance	17242	200
upregulated	FALSE	0.330754134441794	51	1013	9	0.00888450148075025	0.176470588235294	KEGG:00561	KEGG	Glycerolipid metabolism	17242	86
