GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0060638	mesenchymal-epithelial cell signaling	9	3	0.6	0.01830
GO:0070365	hepatocyte differentiation	9	3	0.6	0.01830
GO:0045836	positive regulation of meiotic nuclear d...	9	3	0.6	0.01830
GO:0036376	sodium ion export across plasma membrane	9	3	0.6	0.01830
GO:0033189	response to vitamin A	9	3	0.6	0.01830
GO:0070254	mucus secretion	9	3	0.6	0.01830
GO:0048245	eosinophil chemotaxis	9	3	0.6	0.01830
GO:0051145	smooth muscle cell differentiation	57	12	3.8	0.01831
GO:0021953	central nervous system neuron differenti...	158	22	10.53	0.01838
GO:0021952	central nervous system projection neuron...	25	5	1.67	0.01868
GO:0048706	embryonic skeletal system development	87	14	5.8	0.01868
GO:0048714	positive regulation of oligodendrocyte d...	16	4	1.07	0.01871
GO:0045987	positive regulation of smooth muscle con...	16	4	1.07	0.01871
GO:0060412	ventricular septum morphogenesis	34	7	2.27	0.01900
GO:0048646	anatomical structure formation involved ...	900	100	60	0.01968
GO:0120163	negative regulation of cold-induced ther...	42	7	2.8	0.01986
GO:0042572	retinol metabolic process	33	6	2.2	0.02028
GO:0006468	protein phosphorylation	570	60	38	0.02043
GO:0048699	generation of neurons	1148	126	76.53	0.02145
GO:0048565	digestive tract development	91	17	6.07	0.02182
GO:0007010	cytoskeleton organization	1230	88	81.99	0.02221
GO:0060560	developmental growth involved in morphog...	188	24	12.53	0.02241
GO:0032733	positive regulation of interleukin-10 pr...	25	5	1.67	0.02262
GO:0002067	glandular epithelial cell differentiatio...	25	5	1.67	0.02262
GO:0002042	cell migration involved in sprouting ang...	55	12	3.67	0.02270
GO:0060078	regulation of postsynaptic membrane pote...	82	13	5.47	0.02278
GO:0070314	G1 to G0 transition	17	4	1.13	0.02321
GO:0070098	chemokine-mediated signaling pathway	41	7	2.73	0.02322
GO:0051781	positive regulation of cell division	72	8	4.8	0.02335
GO:0001710	mesodermal cell fate commitment	11	4	0.73	0.02424
GO:0015812	gamma-aminobutyric acid transport	12	4	0.8	0.02425
GO:0038065	collagen-activated signaling pathway	14	4	0.93	0.02425
GO:0031110	regulation of microtubule polymerization...	92	9	6.13	0.02426
GO:0015918	sterol transport	96	9	6.4	0.02428
GO:1905209	positive regulation of cardiocyte differ...	11	3	0.73	0.02430
GO:0015698	inorganic anion transport	104	11	6.93	0.02473
GO:0042491	inner ear auditory receptor cell differe...	30	6	2	0.02473
GO:0060602	branch elongation of an epithelium	17	5	1.13	0.02474
GO:0008277	regulation of G protein-coupled receptor...	113	14	7.53	0.02481
