GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0021603	cranial nerve formation	6	0	0.41	1.00000
GO:0021681	cerebellar granular layer development	9	0	0.61	1.00000
GO:0021692	cerebellar Purkinje cell layer morphogen...	17	0	1.16	1.00000
GO:0021694	cerebellar Purkinje cell layer formation	13	0	0.88	1.00000
GO:0021697	cerebellar cortex formation	20	0	1.36	1.00000
GO:0021702	cerebellar Purkinje cell differentiation	11	0	0.75	1.00000
GO:0021781	glial cell fate commitment	6	0	0.41	1.00000
GO:0021819	layer formation in cerebral cortex	16	0	1.09	1.00000
GO:0021846	cell proliferation in forebrain	19	0	1.29	1.00000
GO:0021860	pyramidal neuron development	10	0	0.68	1.00000
GO:0021871	forebrain regionalization	10	0	0.68	1.00000
GO:0021889	olfactory bulb interneuron differentiati...	7	0	0.48	1.00000
GO:0021891	olfactory bulb interneuron development	6	0	0.41	1.00000
GO:0021904	dorsal/ventral neural tube patterning	13	0	0.88	1.00000
GO:0021924	cell proliferation in external granule l...	7	0	0.48	1.00000
GO:0021930	cerebellar granule cell precursor prolif...	7	0	0.48	1.00000
GO:0021932	hindbrain radial glia guided cell migrat...	7	0	0.48	1.00000
GO:0021978	telencephalon regionalization	6	0	0.41	1.00000
GO:0022410	circadian sleep/wake cycle process	10	0	0.68	1.00000
GO:0022614	membrane to membrane docking	6	0	0.41	1.00000
GO:0022616	DNA strand elongation	36	0	2.45	1.00000
GO:0030002	intracellular monoatomic anion homeostas...	7	0	0.48	1.00000
GO:0030070	insulin processing	8	0	0.54	1.00000
GO:0030150	protein import into mitochondrial matrix	21	0	1.43	1.00000
GO:0030157	pancreatic juice secretion	9	0	0.61	1.00000
GO:0030174	regulation of DNA-templated DNA replicat...	15	0	1.02	1.00000
GO:0030223	neutrophil differentiation	10	0	0.68	1.00000
GO:0030261	chromosome condensation	34	0	2.31	1.00000
GO:0030262	apoptotic nuclear changes	22	0	1.5	1.00000
GO:0030277	maintenance of gastrointestinal epitheli...	11	0	0.75	1.00000
GO:0030422	siRNA processing	7	0	0.48	1.00000
GO:0030431	sleep	10	0	0.68	1.00000
